station;date;Location;Sub-district;District;Province;GWL_max;GWL_min;GWL_rata;SM_max;SM_min;SM_rata;Total;Status;longitude;latitude
BRG_150611_01;2018-10-31;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-2.237;-2.3;-2.28;7.9;0;17.64;0.1;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-01;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-2.112;-2.237;-2.174;51.2;19;23.719;8.6;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-02;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-1.981;-2.11;-2.047;46.5;29.3;33.225;2.95;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-03;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-1.868;-1.981;-1.927;32.4;26.9;29.158;0.05;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-04;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-1.788;-1.873;-1.831;41.7;26.2;29.465;2.1;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-05;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-1.714;-1.795;-1.753;39.1;27.5;30.348;2.35;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-06;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-1.639;-1.717;-1.679;29.8;26.4;27.887;0;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-07;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-1.575;-1.646;-1.612;38.9;26.4;29.946;3.2;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-08;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-1.436;-1.583;-1.55;39.3;25.9;27.259;11.95;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-09;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-0.833;-1.424;-0.904;37;27.8;30.517;1.75;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-10;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-0.894;-0.933;-0.919;37;26.1;28.206;4.9;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-11;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-0.904;-0.926;-0.916;32.9;26.8;28.778;0;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-12;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-0.804;-0.938;-0.92;42.1;26.2;28.406;12.2;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-13;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-0.811;-0.874;-0.846;33.5;27.7;30.371;0.8;BAHAYA;103.321105;-0.9080600000000001
BRG_150611_01;2018-11-14;Bram Itam Kanan;BRAM ITAM;TANJUNG JABUNG BARAT;JAMBI;-0.835;-0.887;-0.869;37.2;27.5;29.627;0.75;BAHAYA;103.321105;-0.9080600000000001
